,6AK3_lig-to-AF_6AK3,6M9T_lig-to-AF_6AK3
0,2.262246902692967,2.0493728264887037
1,2.066057602277457,2.34629582058144
2,1.4258422035190155,2.1215170108941006
3,2.1151680653992577,1.9980611043705307
4,3.2474160559071197,2.0552234576791353
5,2.971759105452007,2.297554607634253
6,3.811638451671623,2.012107714449015
7,1.645284008513482,1.9765162719551042
8,1.7860382304046116,3.382055003315003
9,2.196679841918233,2.0745177317027848
10,1.6018557480879354,3.4366103929172733
11,2.0986689323051313,2.237146445969782
12,1.9613185193284028,1.956781923822413
13,2.1672716173161954,8.619192204999186
14,2.297754286601635,8.261000734871052
15,1.8110887495983385,8.344238379649015
16,2.097621832480678,8.547954674525691
17,2.2044301416108127,8.196802846671016
18,2.083871841118595,9.040556039426129
19,2.06509876498084,8.547455704175249
20,2.6973021265012624,9.082922899151018
21,1.8616275771627366,7.876134033700451
22,2.1617430180160353,8.541296817421514
23,2.147798515723239,9.015863411544206
24,1.587822417663535,8.106683249900174
25,1.716493610365331,8.71405538951711
26,3.146131576582188,8.667192708487827
27,2.1901650709675913,8.256897118710663
28,1.6256437533347088,8.422453589707395
29,1.3703524362548338,8.188567284706558
30,2.7995733041384567,9.007758914944239
31,1.9477336127562408,8.669232427983166
32,1.9742762170291752,3.7229635469553184
33,6.245412948432279,8.15941807890385
34,5.832674275301128,8.178163035937477
35,8.071591900342167,8.546919713878413
36,2.341887924656165,8.473006223326843
37,6.25388211367919,8.774818857795244
38,7.952931151458692,7.614927432053598
39,8.087396305199608,8.444703064503281
40,7.843227956604107,8.090765848398735
41,6.136454305969472,8.634131257793976
42,8.012855771748592,7.3909026956471875
43,6.127678359083252,8.876071252650181
44,6.326682846275997,8.293893676904945
45,6.396580680753481,8.014476575820183
46,8.772993488559043,8.265261534125907
47,2.4247643181350726,7.381616858097846
48,8.013053581336319,17.962946876714174
49,7.841359635635915,
50,8.146295573698733,
51,8.104100708996098,
52,8.184161404190741,
53,7.941457885984058,
54,7.9118612819971395,
55,8.107323604761781,
56,8.471220423185464,
57,8.384079357643385,
58,7.99333243257716,
59,8.072397086198656,
60,5.5512530820051795,
61,8.106149886858805,
62,8.06836416457892,
63,6.44973365125136,
64,8.213713972353997,
65,5.642275075914907,
66,8.918214432688684,
67,8.34830028800976,
68,7.577612314313278,
69,8.35777089795965,
70,20.05425269109814,
71,17.618065791023444,
72,19.78703967630106,
