,5YHL_lig-to-AF_5YHL,5YWY_lig-to-AF_5YHL,7D7M_lig-to-AF_5YHL
0,10.010548052096285,11.644152234939588,8.012062227863474
1,7.551484280771264,10.780835093145397,6.879779427884946
2,8.619795610113561,9.975107585476662,7.018863503957998
3,10.08510875581623,10.135665688762346,6.967341138917037
4,7.261578943810431,10.583872150768151,6.936414969902979
5,7.683090734521944,10.535788890514096,6.857091883361768
6,9.369650983976879,7.875152464395157,7.337266765256707
7,9.326273565902788,10.138127745749356,7.500895693430447
8,9.751419893968613,9.8153916055027,7.1103631659727595
9,7.606391452839846,10.05379702294135,7.706243771680931
10,4.902075169043603,10.125921901373523,7.25566865988027
11,9.834428047816255,7.2802483971964,9.410106516007165
12,7.712293736760372,10.561464864226187,7.310491907759458
13,7.506160044268887,9.61663721141911,6.408820788897308
14,9.500694001686545,7.436150326479468,6.732316008157943
15,9.899619428610718,9.330150671360341,7.534492222963804
16,9.140155716424651,7.9421143295854435,6.880390143841804
17,9.853228224598102,7.449704798809623,7.3978061790412255
18,9.554517323836647,7.885323984033579,5.803321885118887
19,9.63885768879269,9.805918196171726,6.933432156820233
20,9.405644141068397,6.52790913176775,7.131415961952688
21,7.702911419753298,7.621398568035665,6.693872730866654
22,5.480507035113622,7.750317674410454,6.8001574920257575
23,9.245337093787226,9.60351104039089,7.183784735007297
24,9.59583553598436,9.513029287131292,6.1885000609796865
25,9.157665617035068,7.482327234540375,6.953535117043897
26,7.328083417212695,7.297415664901932,2.030867464882669
27,7.335618015759091,8.729351241322808,5.305073677956791
28,7.35687781633098,7.445466491743646,6.3642762950749585
29,9.883484425192366,7.160406374230998,6.296844652442342
30,9.94002921324878,8.1572005699741,6.591685817731931
31,11.211806583442366,7.2228485719074484,7.073525030973167
32,5.159765078081482,4.883593015331223,6.554533013265702
33,7.4713552004361965,9.880538140667563,6.756362107039027
34,7.499079826458133,8.742793929038012,6.808030525902826
35,9.91084852692427,9.45644888376009,6.62876116387996
36,5.855118860615428,7.436811080936324,6.25446067701946
37,7.579488626061193,5.9091662665981906,6.80712364556662
38,4.824836167311912,6.848498156538685,6.575133164016817
39,7.706357092655427,2.9459907211490726,6.4484831363521335
40,5.0376493362816985,7.569061087712047,5.786198764495585
41,7.518524548763098,3.0762220498206942,7.1619866020116
42,7.650753928907697,7.376085474972677,7.027452184690269
43,7.278745310175467,7.537771751964288,6.164002018503023
44,7.851526793358482,3.3993773771262146,7.029509163956221
45,2.751032569290744,6.940365921370144,7.019557206971765
46,7.329127254835938,7.202372569641775,5.789900040375097
47,7.732803429212968,9.137786287685163,6.763883645980506
48,7.606992599780253,6.064368140619984,5.366740167058722
49,8.233592630425884,7.586153206591289,6.374645860423188
50,10.427888605071018,1.8110493278607114,6.086803093508273
51,7.362844318249543,8.97755763964595,6.542220424100907
52,7.251862950386862,7.519354269044787,7.006396436131242
53,5.3202232494067365,7.642480637677555,7.105434364556452
54,2.7778155841722763,7.077992603715966,6.6174954224556854
55,8.99660829640044,7.717532570975037,6.3565693660213505
56,7.258828937008729,7.699159088966576,6.888730017682191
57,2.6950395391816917,3.2820160188124765,5.918132934966048
58,6.004508442994536,2.6550412629632527,6.742447911894508
59,7.322727259641748,2.7957629678326748,5.651697969620132
60,8.125542591435625,7.43189891300225,9.608476335242568
61,7.8243300636516215,3.5589617347011044,5.618672939023659
62,3.150491777252228,7.700754913654349,6.088337929649001
63,6.920679102287046,6.900697289261335,5.88630013994646
64,7.604734985213716,2.63956649906216,6.90456869785952
65,2.648500428680149,5.643870914532658,6.29683438589529
66,2.6857120056279182,9.057477708602885,6.521058055937984
67,3.509400651209633,7.69003597934685,7.094280334377869
68,3.86510020794611,3.5731321721762788,5.907632286593244
69,7.694899016139571,7.511660229508595,5.619075362477602
70,1.7283173471025226,7.4338342306522405,5.417147485097942
71,2.612016606166974,2.5944482397368684,6.520186160301349
72,6.8612636765045085,7.0104308618906686,6.160132516315567
73,6.9764385506596,1.7726834995979122,6.582859541847184
74,3.312882608630742,3.8601485175905603,8.006744986896214
75,3.879818459389426,4.907329934611557,7.502957925297787
76,3.959053268899877,2.6433780967845104,6.869124132455685
77,7.4222031339861685,3.731184216961956,5.959778939164331
78,1.9453896437524456,2.6295493211135565,8.20687070557022
79,6.799896720555953,3.93347878245433,6.618618491954138
80,2.946499082111515,1.9636016333602646,7.332087532873954
81,3.9434250867475096,3.9313399373956495,5.685089280625407
82,2.7024808363611945,6.303085488015479,6.523086505966536
83,4.697546265047491,7.288388020595977,5.798477563806419
84,3.532223286483515,4.771424272808885,5.924495686782661
85,1.5095772584875218,3.4107876186491293,6.332142844764919
86,7.742344012689002,3.6464092082131923,6.350195929381118
87,1.449779239706331,8.534978431023317,6.403908634159981
88,7.37058480053175,1.5380768758222392,6.830352766884422
89,7.513811561369506,7.884821249154562,6.651177316423338
90,,7.570303526197348,6.852241477561806
91,,,5.9531301086609485
92,,,5.036528417704683
93,,,7.470498887307866
94,,,6.159779250210705
95,,,6.542552983553367
96,,,5.259133276657191
