,7E2Y_lig-to-AF_7E2Y,7E2Z_lig-to-AF_7E2Y
0,0.9663306119033679,2.668481284549078
1,0.962554014532489,2.6517405527738562
2,1.9960501398504302,1.7648044436178003
3,1.5882588408785903,1.9170817757282022
4,1.5813149965338018,2.7116374514052084
5,1.1118978852910397,5.596229737485515
6,1.7974378845703838,2.776328756152652
7,2.100991338236603,2.64032147053041
8,3.3804018242033904,2.8187236864558884
9,3.4731103369799547,7.338219642386985
10,3.7156180210014136,6.968405115188023
11,3.8363839439068723,2.6929331892617028
12,3.7768493531684286,1.9810613702498625
13,4.5534103197607925,3.081518245046209
14,4.815522513204761,1.4979731094771458
15,1.1910780818473756,2.371458054580508
16,0.590286767120733,1.730971343427335
17,4.570923657136118,2.2826505510400477
18,3.78986772159561,2.1688014883774485
19,4.8281412406686774,2.0083769156741464
20,2.508837924298895,2.8673225716019877
21,4.5625223727187585,7.844933182698419
22,0.6042830297762282,2.8839841918215963
23,3.729374064065557,2.02980298460404
24,1.572355494314769,7.051725308707714
25,1.1682586887164113,11.35099994418875
26,2.1461099350773623,8.45551732873206
27,4.682005575131343,2.5225605374129416
28,3.7831499816531697,7.353922206985963
29,3.5070054356024207,7.831490428091633
30,3.3574380785842903,2.1452488308329096
31,3.033450984000681,2.8533306199567154
32,3.7694178977415995,2.9996511861793813
33,1.5540985384990635,3.5263547498782377
34,5.288526672667624,5.2431845807378625
35,1.537860185966127,3.858165562220025
36,4.642020227631349,4.160706232301311
37,4.730272646483351,4.305144049588027
38,3.6397986945032375,11.686764333292876
39,3.9802396354494434,2.7692349997684014
40,3.2855161444937497,5.275094865278705
41,5.070223029267185,7.551902679619513
42,4.726785398511304,4.0521581774985895
43,5.40899672370213,7.833009957822007
44,2.072592042707264,3.6384477190764617
45,4.662159373813721,2.380176721388374
46,3.3909614048753753,5.637553284290366
47,4.36013071430687,2.5202787104571054
48,3.97187329977409,11.123235530973627
49,4.6601559736920555,2.545512814773067
50,4.469225583528746,5.735448370162642
51,2.7989974689230737,4.364155754192743
52,4.876518925870426,3.725324146425957
53,4.452855387329847,2.6535615154539527
54,2.2409382525495007,7.729844315811014
55,3.0083088633454462,7.849069658789822
56,5.317658818977259,7.08855281253009
57,5.359509320764332,7.156485200719089
58,3.9409670737533156,1.7527760694529033
59,1.928609813820267,2.1781367787407646
60,5.169674013200751,3.9808296874210582
61,5.309295965066648,3.8765166207123114
62,5.21205116250065,3.2947884485794288
63,7.848745968263778,5.856874099315449
64,5.276353495764752,4.225110730271925
65,4.436332290070284,4.625010962537726
66,5.343335386762514,3.353121903041173
67,5.211286669466756,4.267188265478674
68,4.135931630813725,11.293143850057573
69,4.242018514813693,2.843535522335148
70,3.2277802858458213,5.544198701697119
71,4.694292610067761,2.36848108059154
72,5.80170954849251,5.987350869913503
73,7.558558351721737,9.79753651592283
74,4.857340514051919,4.275586976781247
75,5.665971035666281,2.5173093684315146
76,5.845393366126165,7.150948272664256
77,5.439437869830762,8.467494314007604
78,5.6948142943360684,4.507817327952956
79,4.924832868060795,2.3763718204480755
80,4.926293551980738,2.801355916523534
81,,3.9355985917540037
82,,4.043012671418502
83,,9.392486407279767
84,,2.7285657830471988
85,,4.496616178718508
86,,3.295615096883109
87,,2.7330333263446187
88,,3.0652650695689223
89,,2.6925267209386674
90,,4.404882555149491
91,,8.23686588075019
92,,5.665319371492737
93,,6.446146956342476
94,,2.5047572808167007
95,,4.854048636154857
96,,4.783811716774427
97,,2.6308673004604763
98,,6.896431561775169
99,,5.62695081037415
100,,5.7853089920497816
101,,3.000934997554486
102,,2.429149011208152
103,,2.5153761760878033
104,,3.1727914444774226
105,,2.5076612636799656
106,,11.888838905413612
107,,6.5316973317078535
108,,2.724724746135298
109,,7.72957407869202
110,,6.633078069134472
111,,2.355153397202718
112,,10.240897756902804
113,,7.113460890312356
114,,6.76209902789308
115,,2.91316677253828
116,,7.207158896540179
117,,10.984271447247904
118,,6.30112914649008
119,,3.197729997682767
120,,6.345564313004291
121,,6.292492790472227
122,,1.8486350401044829
123,,2.4932717866970298
124,,7.134919581595953
125,,8.19216838477435
126,,6.5639009319946435
127,,3.8251251736153553
128,,1.9179259715985146
129,,7.842373109683924
130,,2.382726057719331
131,,9.818338589740002
132,,9.157098168200887
133,,7.350373932075106
134,,3.5568665394938375
135,,6.064008679359108
136,,11.001097774112065
137,,3.7177899850201728
138,,5.055719885774705
139,,7.094121176342138
140,,9.584606718187622
141,,5.574719450819429
142,,2.9407199356047933
143,,7.333199632227735
144,,2.3099706904517934
145,,4.155745640258096
146,,2.7192740073019066
147,,5.658820303787492
148,,3.7203476818885
149,,3.6149985197411816
150,,10.530211832680184
151,,4.086446525762687
152,,2.95170613428906
153,,2.658198564187404
154,,7.316891647557078
155,,2.7616346245558936
156,,3.493813072822624
157,,3.8261103900833673
158,,9.922598856276881
159,,4.066588184654437
160,,7.131455884615681
161,,5.156992514422529
162,,3.7584071133677317
163,,7.1028630728815525
164,,8.787415568192813
165,,6.977089197824109
166,,7.085218704703084
167,,9.669877808190698
168,,9.81605292168058
169,,10.068350593767821
170,,4.955870464797493
171,,8.058789326997509
172,,4.27951709417328
173,,6.906596314193919
174,,10.17721488577747
175,,3.362439153542132
176,,4.756803234682889
177,,6.505156501704278
178,,9.833043648085726
179,,7.775034545819444
180,,7.529736153688141
181,,9.10839227971382
182,,8.983106770157969
183,,4.578907098042042
184,,6.845455195509062
185,,8.734331965296073
186,,7.827077042321497
187,,7.588996172281006
188,,7.088369992349199
