,6K41_lig-to-AF_6K41,6K42_lig-to-AF_6K41
0,5.862986093436057,6.053297852044416
1,5.506994622409856,5.696350229634105
2,6.250985406686068,6.433804210374888
3,5.585190506643711,5.792162690773474
4,5.506690369011366,5.679318289467727
5,5.900175074753895,6.071952120870139
6,6.074325868614595,6.278720082782779
7,5.831223575573911,6.0513488891010665
8,5.477894691561726,5.692692088178772
9,5.673003278716533,5.6669471801242235
10,5.339137730216068,5.516552658134085
11,6.311859287618063,6.471388127555262
12,5.808639047763221,5.985942479765839
13,3.097884464541675,3.353090938041934
14,5.803143207910478,5.983997110739212
15,5.483777719002609,5.664972212518186
16,5.7821034045928235,6.000730310781763
17,5.789939261296869,5.962564395530812
18,5.327452359064489,5.544354482568905
19,5.644202225845903,5.82052258189394
20,3.0755415212759045,3.389499542042372
21,2.7907464583820896,2.8962002506335387
22,5.602929760868722,5.780615644792091
23,5.471264777137342,5.642373085431245
24,2.577158926680115,2.7550339702986486
25,5.2472546073235895,5.352576920392243
26,5.475482630784443,5.6278067817965205
27,5.785722360025618,5.884341472884808
28,5.6173990197627175,5.7461435770213924
29,2.023255389989918,2.1365435424023995
30,5.418623503580592,5.588867048737003
31,5.5291243816545705,5.620286749934891
32,5.796501852954369,5.836119294342989
33,5.5910939618315405,5.624234408521364
34,3.1913398733747496,3.547834282484827
35,2.0414161077069832,2.1795968138112003
36,3.437682713338317,3.5860347038248492
37,5.7210834711490275,5.84354362344783
38,3.3509478477017898,3.4514254100372814
39,9.943015009979147,10.403077002621652
40,3.0138133290581877,3.3064659389191564
41,5.827361573844443,5.938948322390116
42,3.517708311379636,3.7459070613031575
43,5.658819200394777,5.681733139586787
44,5.628043514324807,5.670437135188333
45,3.2467905426711,3.478998884362297
46,5.481890151048112,5.548093325564753
47,9.219690851106101,9.651219588515787
48,5.658198070532798,5.549444435795055
49,5.465518995063327,5.588518690184968
50,3.6060485640978532,3.7189668309194954
51,5.777207190049694,5.8168434470294645
52,5.533070886431211,5.657020429091848
53,5.5978601633755956,5.797213072700004
54,5.727062395869152,5.767098796229082
55,5.33467538208833,5.26887959767105
56,5.823976241473571,6.043076283807881
57,5.630860817248429,5.549442011991604
58,3.4035164959285216,3.5879190817029643
59,5.333064601668074,5.437529683719683
60,5.072487317579065,4.893797153729182
61,5.817903802068574,5.868918672450919
62,5.414513736635177,5.515680189488374
63,5.633677682226983,5.776903181875353
64,5.570502134504553,5.6206551930199655
65,5.983477669913837,6.118226820973644
66,5.517163475354353,5.661218256805484
67,5.868812668988826,5.885796808016468
68,5.37456446194725,5.406908303823193
69,5.600102934891405,5.629082750916458
70,1.6244707844265258,1.8835483679144873
71,5.293100245735259,5.216902175309689
72,5.6677312056172084,5.774755605278401
73,3.304571577666638,3.412511197345369
74,5.77642244780583,5.85323574205712
75,2.38032973041453,2.5859465197246907
76,5.8801792615746304,5.908768240476925
77,5.68370188345554,5.917547676543129
78,5.706574017087457,5.837748613669239
79,3.903470763125378,3.9864191041762096
80,5.830568249535717,6.0499958966174825
81,2.7275183707533577,2.8597879545981004
82,3.8998585898577107,3.930680743758628
83,5.421232280179872,5.482076717533626
84,5.402399301241569,5.542888976071155
85,5.788413098888788,5.840118379438314
86,5.704693589561541,5.882576696447422
87,5.717994470944853,5.756627025621148
88,5.948252519809201,6.142486985917412
89,5.867878092882116,5.951131397868074
90,5.630492956915848,5.767152631193423
91,5.859626022733946,5.944646076944221
92,5.749604159131661,5.797211700847824
93,5.1786645062400325,5.294810282738441
94,5.78045463218664,5.820310967986883
95,5.8190617903263675,5.877316896034703
96,5.6669894521866295,5.822377734099061
97,5.710431994272212,5.841610460238041
98,5.698747982523481,5.665922151931622
99,5.79291618852339,5.873613616591586
100,5.5275998590777045,5.591224191122668
101,5.8187323338360315,5.921013726288147
102,5.650735813307146,5.687905706494509
103,8.95139269306062,9.373919225797442
104,5.808814694705636,5.767807233630416
105,5.533697274141257,5.453182174402173
106,5.787518052828141,5.944684599390465
107,5.68450621575912,5.726440166726407
108,5.746515202307648,5.865008058234314
109,3.2655818335463263,3.4576206108025125
110,5.393482691447964,5.408820640782559
111,5.725745903301363,5.7690405090559
112,5.642558490121808,5.805872099734403
113,3.5118845277681197,3.408646514972505
114,10.059200107082637,10.60830132579855
115,5.452967818278037,5.596660349386415
116,5.817488357341753,5.872586322850793
117,5.682637277177741,5.786943631808285
118,5.792949239482135,5.87813073635029
119,5.6180748618992125,5.5755909378940265
120,5.6051409119761795,5.509611358804174
121,3.523950813536428,3.428402388056175
122,3.789529335391663,3.9948891506788016
123,2.9878465543624086,3.0464613961289144
124,4.172660626655168,4.371362426786358
125,4.473775146879442,4.495659676909074
126,1.692488458688667,2.0789673461171208
127,5.497998613440367,5.537101829132547
128,5.879689360146966,5.975291209571395
129,5.577657355065299,5.468712069377875
130,5.622449412559539,5.643128699449038
131,5.805661453571272,5.766590362189692
132,5.407379804695514,5.493398259972186
133,10.371460017575817,10.893308566662226
134,5.538224894139014,5.535915263268978
135,9.31125340919279,9.763420480919526
136,5.538601133561042,5.544543037797791
137,5.437804045630185,5.483468332461357
138,5.433873256160894,5.551416870604879
139,3.566997610472434,3.784279996074065
140,5.73419036070236,5.851460490853169
141,11.28191884666122,11.804341484603157
142,10.323150687383885,10.699315832380298
143,5.907681555114971,6.040299267505603
144,10.467384132906707,10.955564435707265
145,5.634775713778356,5.813593394190227
146,3.197019725196878,3.5534926932734856
147,5.600815293777966,5.4511450473198
148,10.696142459670536,11.234035744823931
149,5.469033903095468,5.530952834454842
150,10.952430228389982,11.478286442775815
