,6Z10_lig-to-AF_6RNK,6RNK_lig-to-AF_6RNK
0,11.651404408597369,11.595408386030602
1,11.626845380667646,11.317533763372417
2,10.996374346957912,11.989805950983426
3,10.977656298239763,13.795282933582659
4,16.30327161241046,16.11946200723812
5,15.189538363474234,16.02453130466495
6,16.85532041778189,12.274425210201995
7,15.325245987011753,16.537351430797344
8,15.778161186091545,16.698935765043906
9,16.59408440107123,15.803090321905877
10,16.568010719122945,16.215198881485232
11,16.983698418400348,12.83048684278693
12,15.404785720094507,16.7557241293076
13,14.962171814288146,16.431786180666705
14,16.39643204626414,17.126340237573533
15,16.419674333568995,16.363710050306583
16,16.33927957090897,12.668456031603926
17,16.289299093407838,12.56457437117437
18,17.04321232223883,15.549531681267275
19,16.70133892281395,17.339427758310556
20,13.456179727182912,16.59419908623062
21,16.529735228281183,16.40201781910095
22,14.870768472181378,13.210844737643411
23,14.83383662710042,16.890842388979458
24,16.5939227228155,13.059294267861118
25,14.713569470791173,17.215741858223904
26,17.03863187280927,15.384583289604844
27,16.888156480487986,17.716491927362224
28,16.60075991032131,16.859649887172857
29,16.353005916552267,16.095029599878867
30,16.387774773397467,17.44616905481964
31,17.0586717982878,16.105798295650814
32,16.320030517426343,15.537181778636635
33,15.85363314369727,16.253921549047867
34,16.860739821985284,16.8211794737403
35,16.02275600802049,18.824846459293834
36,17.319540200438713,17.70860532327002
37,16.396228268441988,16.107579249251085
38,15.700758500157741,18.088789147960167
39,16.965182882133746,17.75985849327262
40,14.79274781970058,17.18003288514838
41,16.764346057040804,16.195687805445488
42,16.91268540718899,16.764314334675866
43,14.993289375645352,18.056530638617623
44,17.262158314551762,15.899031293310449
45,16.766876529371864,17.93224984944337
46,16.57829529320585,17.9491356850573
47,19.034139674448525,16.174780135269323
48,16.509260608235348,15.154913394330817
49,16.957467775433706,16.173162035560253
50,16.741031677025685,18.196556001210883
51,16.44976808582239,16.651466277082168
52,16.39086335530923,16.82841881687976
53,15.978390377961837,18.90846488770052
54,17.042126733263515,11.698164756492595
55,11.950590631786099,16.562620913667946
56,17.07243499886589,17.1240500298015
57,14.003336128783246,16.291123460706114
58,16.67093101010031,12.897152266617553
59,16.670880239308275,16.16943162067003
60,17.18639907643037,17.320928841897114
61,17.863334407536772,18.26043203995249
62,16.265503944976825,13.1158015328883
63,16.861710157088574,16.256740977358845
64,17.3688150694661,18.147859734621182
65,16.71295730280136,16.852266583860903
66,18.161949192305286,19.044728279802126
67,18.752346212720738,17.126779826070052
68,16.96012022481865,13.20969770004977
69,17.181461560911416,18.85646712804931
70,17.108819537721768,18.03057986003544
71,16.8980380650704,18.547039740336245
72,17.014169877932655,17.541442951725237
73,19.3053577201823,16.206732527396365
74,16.31615703670758,17.255057937883713
75,16.466285997454328,16.072822961126153
76,16.962922671255924,17.40706477220694
77,17.12132186747955,16.34197656841779
78,17.462057529021845,17.094676792221243
79,16.519232278340716,17.79957898362806
80,16.877470656346983,18.143124745186945
81,16.619405421607137,12.901519565083927
82,16.9524920774864,15.812039565001854
83,17.150300076034487,17.45095916124247
84,18.163539810655244,16.69281370910745
85,17.368442299931,17.363766135026168
86,17.127625864635522,16.075305671209968
87,16.961531732766062,17.609662710378892
88,17.28762669024569,18.54963892369662
89,16.94013348431888,16.78328154366693
90,17.25952892333764,17.7143592269911
91,,18.28043486178462
92,,17.68217166658065
93,,18.745937356667074
94,,18.14849854752432
95,,17.25272661378492
96,,17.472660105597214
97,,17.457431783814386
98,,18.06959419379379
99,,16.866097777565287
100,,16.841154438386116
101,,15.975796764871832
102,,16.867612058171108
103,,16.494454034173504
104,,18.58261076616129
105,,18.119256649787637
106,,16.4950836609643
107,,18.383750445188983
108,,16.538439244319136
109,,16.34439980117095
110,,17.063673539875243
111,,18.58424948257973
112,,17.944354200258267
113,,16.90893811543014
114,,11.685954921946484
115,,12.589072654557139
116,,16.50940012154279
117,,18.598099332513275
118,,15.551814955781248
119,,16.60361204044755
120,,17.27261279167444
121,,17.097058275933424
122,,16.77071935603248
123,,18.62453038206515
124,,16.193828761940274
125,,12.768225830618638
126,,16.437772845448503
127,,17.667294723175896
128,,17.54726899154105
129,,17.711101854473167
130,,17.28805879207204
131,,18.647017803653696
132,,17.304954814608283
133,,16.631737383707286
134,,15.97013087944699
135,,17.398942930148213
136,,16.1307384817185
137,,18.117768973771373
138,,16.026982880665713
139,,17.84059699454788
140,,17.552448957801875
141,,17.529585247578545
142,,17.923779967468935
143,,18.76664610718938
144,,16.4926654205116
145,,16.770790578434514
146,,18.052271332358902
147,,17.852584910728137
148,,18.47316648632702
149,,17.039557613259465
150,,18.23225666171459
151,,16.36746499956557
152,,15.397458705850214
153,,12.549987884428411
154,,18.464178518653704
155,,17.298794731321923
156,,17.569779387728705
157,,17.430126853086374
158,,17.349140491983935
159,,16.209458542833342
160,,12.614712399821446
161,,16.108811148398143
162,,18.16560408732053
163,,17.167086480554566
164,,17.8732644711052
165,,15.67595324377576
166,,17.77216036194936
167,,15.950525905909387
168,,16.780628897456396
169,,17.34161718540312
170,,16.520740828635397
171,,17.556974226412287
172,,17.319121653986624
173,,18.352131909174414
174,,17.605007987591602
175,,18.26636390149116
176,,12.39119802860543
177,,16.365376533608686
178,,17.28736288105447
179,,17.837577184898407
180,,17.35012987312187
181,,17.35831866356631
182,,17.276924496032716
183,,12.76241876059303
184,,17.66347178673906
185,,17.562148264771597
186,,11.462973730846597
187,,17.479213427093498
188,,15.982805247532617
189,,17.43861481309382
190,,12.954960148405526
191,,17.49515374410061
192,,15.883755680530976
193,,16.992951317485666
194,,11.097112091464366
195,,17.8685890470321
196,,17.800340075238413
197,,11.190791455982717
198,,16.978140573724957
199,,18.07859307801932
200,,17.836354907264667
201,,18.106874133657893
202,,11.233796475823453
203,,10.950767921100734
204,,16.936017261605954
205,,18.525452025905082
206,,16.580342221724187
207,,16.930696728221413
208,,16.907722927907596
209,,16.116591909703008
210,,18.03979319435439
211,,17.681973290799387
212,,18.811598650550202
213,,12.965703711548896
214,,18.387412684722523
215,,16.09386888405759
216,,16.309429424848286
217,,16.892928347102615
218,,13.220494460091862
219,,15.964490181699428
220,,17.110666624618986
221,,16.84392363552588
222,,16.92278600113198
223,,17.941320972046192
224,,17.150159288045355
225,,18.798998352964276
226,,17.956944839748203
227,,17.561843964601835
228,,18.682234834881307
229,,18.45843562672928
230,,11.101295905942381
231,,18.807851015371593
232,,17.37524647610987
233,,18.957089218214648
234,,18.21933724030628
235,,18.179924870809987
236,,16.177151303406312
237,,18.135982501942546
238,,16.551171439564513
239,,16.809943578148015
240,,17.417657626262233
241,,16.307846209120324
242,,12.8741827985218
243,,18.545760559056998
244,,16.326317347716294
245,,15.922387463397206
246,,17.967222944340858
247,,17.61871972661374
248,,18.700538899431468
249,,18.463703569636397
250,,15.655349871254693
251,,17.418867692867483
252,,17.511194157100608
253,,15.900869312271638
254,,17.47847812140166
255,,17.249991364825274
256,,15.786470284672143
257,,15.857819990670391
258,,12.838006905083986
259,,15.891082514366612
260,,16.022300492724117
261,,17.5207371814392
262,,16.90112664528464
263,,17.121368543500783
264,,17.0483202167263
265,,17.356505357812104
266,,17.847344902157687
267,,17.65589046188086
268,,16.20942976468195
269,,17.16298851643174
270,,17.83550631220645
271,,18.592519401794288
272,,18.678888857781267
273,,16.739313936912342
274,,17.729448949419115
