,7D77_lig-to-AF_7D76,7D76_lig-to-AF_7D76
0,3.024955757888796,3.3527435075262897
1,2.9172487984930062,5.72183665822523
2,1.7891964968439704,4.178925578030242
3,3.174135282651898,5.369784247742426
4,2.8948028976590363,3.635633410931689
5,7.253926587598393,2.456566644023712
6,7.259133796181575,4.095382467648277
7,3.0196639070207545,4.3180491540908665
8,3.130325735219487,2.3223594042224667
9,4.645113864535073,2.250249520832165
10,7.303903941895261,4.097206269305167
11,7.325590419994505,4.060099548639238
12,2.9652447679036102,3.7914794855195804
13,3.0981944504801073,3.703592239419077
14,3.2062256314061086,3.9862667428358947
15,3.2443093594346317,3.5619477196663856
16,3.328740456715464,5.19922420468882
17,7.396328920382147,4.1850233415333795
18,3.202313134503057,5.305376227876447
19,3.331496425978467,5.279770547296057
20,7.188298461504338,4.361587775638853
21,3.302814474118498,3.497000730307472
22,4.711413580374789,4.267646531832033
23,2.9151705070343046,3.5249230787217303
24,3.4819050577041146,3.600948493155845
25,3.0218111201724827,3.4452278367849782
26,3.3204726952012527,3.306289839472558
27,4.695381797979891,3.7229875575230373
28,3.3163537974982495,3.9867370263234516
29,4.180604218676738,3.412997773181854
30,3.294172531774271,3.6838870726442994
31,3.4152411750803338,5.224757488106519
32,3.3996943482307227,3.410319178607452
33,3.4520058346896207,4.9042133875161245
34,3.1213190834616262,5.238728420187874
35,3.7719440047997588,4.855808210670967
36,3.1466301997209403,7.269691351912303
37,3.217312537194536,3.597310748375381
38,3.790857878166739,4.853167865359619
39,4.1993861188170305,4.2616611744180775
40,3.732405540738372,3.4209412864331497
41,2.854939351804537,4.958677786129583
42,3.371591284328216,3.800382403055907
43,5.136797737204949,4.963786083501379
44,5.134302028593669,4.9500292178631975
45,3.1453478648728903,7.296885158009755
46,3.959573170512311,5.00439686666131
47,3.499563826830749,3.2671750266254054
48,4.666481792563196,3.289881246165717
49,2.5914598581073736,3.6306836291143525
50,2.795259938497518,3.317684695812095
51,3.1225319290803477,4.960461932494029
52,3.3796348542880152,3.298392488355926
53,5.186997742701259,3.6721344327244667
54,2.910355723873556,3.4423067680336064
55,3.534555383157734,4.851279966948356
56,3.3043205817562487,5.199208160554437
57,3.5769363832772436,
58,4.487317523868087,
59,3.316748885474704,
60,2.909913411403276,
61,3.44391352143293,
62,3.216294872267167,
63,3.995937699257786,
64,3.2611818356062967,
65,2.3667525668693092,
66,3.28792877873388,
67,3.3096720502201915,
68,5.871691319680846,
69,3.279017189809727,
70,3.251859290751481,
71,5.721534346936625,
72,2.33243726116072,
73,3.6261295241130425,
74,3.2487770109318883,
75,3.9020658232890173,
76,3.2656825071242053,
77,3.7268739364541457,
78,3.6953519054562465,
79,3.2253092382614903,
80,2.7466410038120688,
81,3.251026852003404,
82,4.937702481969332,
83,5.464089684174333,
84,1.9297396717013386,
85,2.7425425523373175,
86,2.6684744276525447,
87,2.6078724543655087,
88,3.483729172268192,
89,4.0445716047147435,
