,6IIV_lig-to-AF_6IIU,6IIU_lig-to-AF_6IIU
0,5.398446791847988,15.260402266580662
1,5.4426218364096695,15.317534689608166
2,5.5390180911502735,15.657563369833765
3,5.433579716874065,15.3104072223844
4,4.708508584293052,15.448467708026762
5,5.537874016277926,14.853737779246288
6,5.234253037323884,15.318654108866895
7,5.587251285138859,15.294221108006028
8,4.6707991666871,15.583716571616103
9,4.650173669399977,15.255042915530101
10,5.526457105669942,15.248245295888744
11,9.419065324962153,15.029091636830795
12,4.8381215089232965,15.341632716032187
13,5.554250245926012,15.637845337522206
14,5.501115499280072,15.21406280260215
15,9.595217975262162,15.740707559236254
16,9.590017357665536,15.71965926809437
17,8.690960273231196,15.089662330356607
18,5.495461084158243,15.272871295049857
19,8.877075126842934,15.306157350337516
20,9.587456088539428,15.503704251944521
21,8.67318915821844,15.040810569934608
22,9.538991377532236,15.321258753261462
23,9.535462179171809,15.854620429458603
24,8.602904052772168,15.268295199009874
25,9.617370180952928,14.820922009682848
26,9.634733749523685,14.517833374579999
27,8.579069878587083,15.767870180934713
28,9.328867968399251,15.249410694942334
29,9.337827135279962,15.542251587041967
30,9.40502642782496,15.250197943100433
31,9.520472387433673,14.449332202436592
32,9.760057324628036,14.422986176712586
33,9.518697069102632,27.23432321687264
34,7.776179011573678,28.200142974086607
35,8.991470056223601,28.219800970431503
36,5.46564130885002,27.25673380587028
37,8.458270874716087,28.33416550154242
38,8.993113048919321,27.488442843398147
39,8.751994184620647,28.529092518042255
40,9.302160745300055,28.352547299037283
41,9.874520594841051,27.387050894519003
42,9.755701914626899,27.375812534501282
43,9.177574507369707,28.159970877050544
44,8.63223190696412,27.377510365050117
45,9.11779015219109,28.12455233806505
46,9.328745213561348,28.538564276902928
47,9.766182320076531,27.578652072629865
48,10.048135443021947,27.431176171025474
49,8.64482806999027,27.966591257130506
50,8.803282814570693,27.301235345616636
51,8.33175050357316,27.753648722218397
52,8.955285636068192,27.80861955099677
53,8.882467840549953,27.638198459759657
54,8.987375331707314,27.095087702990234
55,8.392760984316865,27.61037178112418
56,9.1665425294522,26.950959291594483
57,8.270604625662996,27.843983263837284
58,8.937642792041036,27.48292346116111
59,8.948509104443515,
60,8.544033427974671,
61,7.455673890573462,
62,8.67590870499519,
63,8.98483553668171,
64,8.621598495496023,
65,8.666951112961154,
66,7.74962009533543,
67,9.928979842003734,
68,9.867226309861467,
69,8.955058336840706,
70,8.732695261541705,
71,8.695453041653213,
72,8.635402744160999,
73,8.798826741889243,
74,15.042101953573436,
