,6WGT_lig-to-AF_6A93,6WH4_lig-to-AF_6A93,6A94_lig-to-AF_6A93,6A93_lig-to-AF_6A93,6WHA_lig-to-AF_6A93
0,2.452308359718587,1.6882246924140831,6.1570162924745375,4.030506310321662,5.300479024546358
1,2.404735744373017,1.0157728346044579,1.0110962655165883,10.572759847385663,6.214717148220277
2,8.246667165508095,1.1616663200244763,1.14795678972211,6.142646235390926,5.180303024505542
3,8.022604903900291,6.335567400905807,6.115613391637973,9.851539423494485,4.827400578894072
4,2.1583048026904033,6.2550865299046965,0.9324143498649333,4.408947953912252,6.3743342975260875
5,2.9600900794795777,6.336011658395481,1.7548759504524554,4.4194972779431225,6.0995772768749275
6,7.298984324373292,6.10971617329896,6.064765166870947,4.444904292736563,5.261123337202893
7,2.9932862740035473,5.18289230505332,6.232309333455223,10.524848828693889,6.096550869179402
8,7.878987060753103,6.14121882143211,6.341382845537442,10.877135286630441,6.597964313191905
9,1.1732053186835518,1.7937365902730462,1.065639759370441,5.342102228018035,5.651043049118566
10,1.2695610152427685,5.2224811021958475,1.138989627475917,3.9904528361913467,4.752310693154788
11,6.6174268123441236,4.668493853614791,1.342789977442608,10.670236763468912,6.349218706503982
12,3.105996328698779,5.34072885030115,5.95950805108107,10.740502364969712,6.398643699684009
13,2.2718800647132453,6.008005795841559,5.959895436339287,3.6990168111014308,5.362866105301103
14,7.298182262347103,7.704492344315274,7.3806872231043466,4.47542733051336,5.33331521509549
15,2.269818687148665,5.471509823426997,6.086114784875723,5.2267483748873795,5.565328740213985
16,8.095549415576707,8.101749808500767,1.2697393254485352,10.927234276380043,5.70744966169595
17,3.1139985938798604,10.213398686882035,6.229963091172291,3.1901533596384044,6.944795988278718
18,8.004966591042969,6.183218462511666,5.161970254040422,3.841568602908643,7.253026466369274
19,2.933083641712372,9.958045381309853,6.019462071864388,5.130134710211054,5.904734267356223
20,2.4046208569495846,7.902007857182097,6.422244312739965,4.043435730305734,8.672374081010169
21,2.9153566869074385,7.107700678890285,1.2914665769812566,5.043941899573418,6.304972721577821
22,1.1800060814417614,5.492928461623765,6.400812241875113,4.091119992910874,8.027552737345964
23,7.583855783117598,7.187980474905586,6.1278680820451745,4.315032547692353,10.165095561591126
24,4.062801557423122,9.939687035418102,4.960740455865894,4.398112557171685,6.4955739626561275
25,1.336673627318093,9.997508001651774,4.973072951686888,10.513889060888381,5.081675805219312
26,1.3147688877631376,10.254425524096357,7.548562042834136,10.579031306986865,6.717969111916292
