,6KUY_lig-to-AF_6KUX,6KUX_lig-to-AF_6KUX
0,3.556632024843088,6.593390789096068
1,5.351431098601679,6.5926730444969435
2,5.844314009491185,6.556207299383674
3,3.5085164116775043,6.428705553793068
4,5.183905957424532,6.439008057099855
5,5.373457680214011,6.542602001505254
6,5.7229966408469375,8.936367649989174
7,5.479283941396935,8.815200051414402
8,5.518099587712588,8.932750327659223
9,2.41073014885675,
10,4.794995225323072,
11,2.6113566565894546,
12,2.715618120957905,
13,5.717880925102139,
14,3.553861747546456,
15,2.6215815955930433,
16,5.693526502707507,
17,5.480287346676241,
18,5.703462897973043,
19,4.989090561295704,
20,3.072517091050422,
21,2.8589848735841836,
22,5.718490072368895,
23,3.9434011050626996,
24,1.5532576825104996,
25,4.700337623934199,
26,5.605023648494041,
27,5.222298653734962,
28,1.4286814061987172,
29,3.747866488700167,
30,5.88312511769283,
31,5.5895484533584145,
32,5.86315032991114,
33,4.509930428056087,
34,5.26650038735321,
35,2.7361193531121573,
36,5.568585075696039,
37,4.868500586986751,
38,4.7228059208118,
39,4.995626697202019,
40,3.4102164987205805,
41,3.57006466983442,
42,4.79565614060825,
43,5.130810805862792,
44,11.40423013271295,
45,5.587100072744984,
46,5.751966639446112,
47,4.685979984014182,
48,4.166803463814512,
49,4.687756881159273,
50,4.58728003194528,
51,10.99669384962579,
52,5.317349797199244,
53,3.5150661127462057,
54,4.320302148442713,
55,4.302173159604489,
56,2.5625435942660353,
57,3.7853085272906095,
58,3.9558208324552915,
59,2.737726142720684,
60,4.1324350344765515,
61,2.8638144205185214,
62,5.133727664902452,
63,5.230660241135976,
64,4.507425294856866,
65,5.0179559917762715,
66,5.058040094489032,
67,11.26627592798674,
68,5.050724304037673,
69,11.459669559693133,
70,2.8931844508360314,
71,4.968209537122475,
72,4.544482346748894,
73,4.349911341582186,
74,4.261815272520379,
75,3.8683792837606856,
76,4.429979814087055,
