,7CKZ_lig-to-AF_7CKW,7JOZ_lig-to-AF_7CKW,7CKW_lig-to-AF_7CKW,7CRH_lig-to-AF_7CKW,7CKX_lig-to-AF_7CKW,7CKY_lig-to-AF_7CKW,7JV5_lig-to-AF_7CKW,7JVQ_lig-to-AF_7CKW,7LJD_lig-to-AF_7CKW,7JVP_lig-to-AF_7CKW,7LJC_lig-to-AF_7CKW
0,2.14831233046772,8.039175741995347,1.6148260304891748,5.47787506153932,3.3256225884975192,7.726552846216214,3.295622950378706,0.5199187389896135,2.3613398168633815,4.03371675241657,3.417260282717957
1,0.9308199670038234,8.781351894378217,1.4498673096991,3.9906826926783667,3.280939345085392,7.734061189332637,3.48120021800629,0.5377920483825968,0.9931953961882577,3.474037852648531,3.613739601291426
2,2.3533826413197625,8.631272619681264,1.452761303761485,4.4693877431172515,3.4043532082028496,7.962539167087314,0.9760919359501482,0.4648152986887344,2.180812124263529,4.078370867780776,0.783747848016601
3,1.9796123399072363,8.871079790018781,5.846338632588408,5.4758517503338275,3.422440072362959,7.907764252791949,3.02148284512415,0.5083868734333119,2.1900471174345904,1.1158291855380646,3.137008572296782
4,2.1328744001245896,8.95555774036757,1.619527952343285,5.067248621125257,2.146610975121921,8.327324172396558,1.1623988201161002,0.5255852931610161,2.324941046909621,1.0579200450787642,1.0906012506605034
5,2.359952031177622,8.984945118520407,2.8874529017126687,5.5135989460345005,1.8519311755272203,8.185929842166056,1.0892848263080706,6.03368836719125,2.1761805406591916,3.557056809402754,0.9439562270069276
6,1.3084980183147525,8.858397468280183,2.897813177929219,5.146921667045546,1.0835471239255887,9.241111438828995,2.2820908786668714,6.025309804142568,1.3769024376773473,3.65599124264352,2.3767014221861773
7,0.9121683664852968,9.03661262409608,5.8737114807046344,6.23688737923544,1.8095638264207832,8.674115057118717,6.293763765290988,6.143548533111728,0.9175411001728774,3.301735430484053,6.24500437657422
8,1.5075411456057735,8.878937340037675,5.873617319110216,5.484724690308999,3.4315644624328048,7.942473641543547,2.281164109088821,6.052269150996599,1.2371474920927032,0.9131947333517192,2.376063770592313
9,0.6778386045307465,8.30092556410458,5.745987264149353,4.147261871072717,3.2857192435178746,7.811287581255201,5.45455014319317,6.102317312107527,0.5451746093145535,6.338599017574912,5.408580077917732
10,2.4499872306324217,8.469642108548397,3.6228813968277724,4.142583001138061,1.56844090251106,8.642925074620056,3.1086209742391793,6.071689306283457,2.3091886542917472,1.1308418360810393,3.222430081210733
11,1.038323154163569,8.018676087061024,5.745962826440598,5.393284589029777,1.615859843822517,8.08344789954746,1.9050915577268708,5.964259317255631,1.0850516848523448,0.8982656489394634,1.905481503236507
12,2.0038953041132874,8.852449121654224,5.87519436359636,6.253677070129727,1.0710592528724194,8.976968974813612,0.9704766813867338,0.6748828337048938,2.1258535644981875,5.5205886716307075,0.8009961594481297
13,1.8298184829140582,8.666699326421732,2.9484646691441094,4.044330777595391,3.206153876718867,8.652521116066033,1.9004716617727424,3.39802530962515,1.445905273046701,0.8724797246415238,1.9060478031215042
14,2.1065260888472506,8.722757951291285,2.948179691887253,4.373051071322917,3.1857140270174784,9.076883435491114,2.2955708595622237,5.242290759788534,1.680395510082747,6.364282095028783,2.354896751615071
15,1.9512431521129168,3.71507759749476,2.185319720384956,3.9208884744274743,3.050447724119008,8.624591718862177,1.5339822936805407,3.403592331611278,2.0353738337919234,4.128524271447929,1.4034874487173954
16,1.2396394879607708,8.771651956231079,2.17688002249927,4.54045451299316,3.0459252711454323,8.788031108953783,5.0935334871233025,5.230032671084897,0.8633442353498472,4.099152292802567,5.057886756722151
