,7CX4_lig-to-AF_7CX2,7CX2_lig-to-AF_7CX2
0,18.694846234068127,18.02277332365632
1,,18.18516104844895
2,,16.974863554492856
3,,18.663379010182044
4,,16.892495552576246
5,,17.073250579570658
6,,18.62266339099489
7,,17.753713854693192
8,,18.313888209047853
9,,18.766000865392552
