,6PS8_lig-to-AF_6ME2,6ME2_lig-to-AF_6ME2,6ME5_lig-to-AF_6ME2,6ME4_lig-to-AF_6ME2,6ME3_lig-to-AF_6ME2
0,1.4361636494959935,4.4154045997074896,6.407166719794992,6.858715721501014,1.4705911506656537
1,1.7214895429630246,4.9098229090097325,6.8751138406096635,6.1809741416313315,1.7657496956983534
2,2.184508275657884,4.4621538085282735,5.105700250321959,6.53892972057501,2.2107144209073355
3,2.3734471429639505,4.296291127579664,6.590637322115412,5.845509901912834,2.4391335903494507
4,6.902895854953103,4.465224188298006,6.720422361884966,6.677378536959442,6.882136768649179
5,2.148055647086716,4.606768684570455,5.147057673668375,5.887044861737947,2.1957848487727873
6,2.6993876166750423,4.983220042352044,6.529635624455527,5.871346885713268,2.7638823937334807
7,1.5065590534305529,4.914253509047133,7.460656872779311,4.6016304347422095,1.5249718916621413
8,2.18064879253794,4.58664485347027,5.355317663396163,6.15604152147827,2.271018077987415
9,1.533262713876806,3.918965112498995,5.031199036713267,5.64577330865803,1.5588165516250798
10,2.4030809334665615,4.402063416786185,5.1960497755622965,5.750723771836095,2.4536660012262135
11,3.009648814776366,5.692402764269672,6.885010799472196,6.116657814793958,3.075447277635995
12,2.1545206507394083,4.34863203224866,6.091237903588787,6.490168782296361,2.158852571330428
13,2.3306913088518257,4.488776020985629,5.358947598939109,6.287821247937825,2.4395960096628797
14,2.566100951282679,4.469439001685435,5.29962800342014,5.036806901903427,2.618679708189125
15,3.3996187280083654,4.649795495401757,5.34785781910347,5.021456495095698,3.465904435237642
16,6.981861153354499,4.864173629987507,6.803415150437479,6.8112380120399445,6.959349536489698
17,2.220410915557807,5.434563347250836,7.377192744525017,6.072752871543761,2.1964037240350813
18,2.288069149900717,5.407103603080465,4.969966587641243,6.394738092307195,2.330678166541372
19,1.9339391270543493,4.547010385948691,6.416200487455688,6.086904790744874,1.9835393157170937
20,4.540621494517342,5.053376954555829,6.130367191250841,4.315391078815053,4.565863971569284
21,0.9959373888398888,4.4576245482296954,6.96241136802195,6.1541933206089565,0.9808968657992672
22,3.588900696176955,3.432999973973301,6.20592812623297,6.11596575416694,3.666202149894297
23,2.3136042740384912,4.444891057435598,5.955138273154458,6.069372988196919,2.417137627138617
24,2.4869263162470077,5.034294996852212,6.031858242131829,6.471601287797373,2.53998902756318
25,1.3409329301870232,7.037473350041907,6.526558674442136,6.05771408693365,1.331875580453337
26,2.7250349910527674,5.001878498902135,3.320592237178902,6.142000563461374,2.7732362461416966
27,1.5010891088301879,4.748497408902941,5.462150251962062,5.420101024801398,1.4949133540750927
28,2.1736035893420618,4.785600377917251,5.71394803497851,6.306224521768988,2.297904261856414
29,2.155805688125611,4.768492099262292,5.326735906796399,5.960325322829344,2.2492899410463627
30,1.921723184446743,4.261144074037926,5.9702195573503545,5.867529618857374,2.050036760648601
31,1.8862097391187302,4.709035031134902,5.337555238228552,5.931577999369949,1.9657418028846338
32,2.326200515423146,5.051542137250137,4.7366292355210495,5.476631620572075,2.375036718595699
33,6.73252131202776,5.770640887140645,6.633520489444554,6.361510892240389,6.720367038089018
34,4.119685116317655,4.902729895951668,6.769943751728908,6.260102713987063,4.182610307821477
35,4.546368753719624,6.503040860742381,5.605294408656858,6.135025681202679,4.579174881296363
36,2.533906949326491,6.198949725203228,5.939410944258095,6.034299506634349,2.579310202144516
37,2.184385280039156,4.577557630722811,5.031553672263381,6.041083145368976,2.2997644862587943
38,2.517036372834408,5.0707647110059515,2.7710014124039772,5.968958872576375,2.608468599664654
39,6.2919759288893395,5.065376528576185,5.652898956427651,6.030850608353223,6.2390752854283
40,2.9809999845127253,4.761102358832492,6.145589577139546,6.015929069394884,3.0569405509773055
41,6.178542917139716,5.058673493923773,4.742508488445927,5.749027409798466,6.132897097321085
42,6.537450413611293,4.952950880042528,5.1612812683336315,6.365568555545381,6.467865580126556
43,6.46301144668971,7.502243214026772,5.1215588377275285,4.294733700057943,6.4507822442173435
44,2.719081575599099,5.738299386689088,5.038717732972161,6.205452699922326,2.822462710371442
45,1.3678534076587647,4.719919458030547,5.547577264293091,5.331698017903579,1.4160707556319048
46,1.3640400261446333,5.328653607053238,5.874375517281154,5.558393191996106,1.4131985846899722
47,3.1239675956046526,5.24038492259035,4.970576952852372,4.810825459086119,3.19780649457141
48,6.459873563857568,5.29311013300779,2.757456204826511,5.953342500495233,6.413771513514969
49,3.077598407220714,5.713485198758847,6.287034039945099,6.029109078217854,3.1242609378127573
50,1.8910547544823286,7.638389999192675,4.324326675511712,5.967125811075761,1.8970092445904108
51,2.170442610115483,6.0116943282974775,6.342304966047382,6.127835318457689,2.1722628297465576
52,3.0084153583077224,4.20723936803172,4.979746115395978,5.283991335929751,3.1096001258898927
53,3.6170201973749774,5.371319630872062,4.910745311157095,5.914162146593717,3.6891535209173663
54,6.492532128489797,4.83940173003911,2.7342883290236095,5.144592638015904,6.43181376957304
55,3.6173466782763093,5.796440627848797,4.710700936723212,5.253006116185459,3.6518666952969943
